,Year,Total All Fuels,Coal,Oil,Natural gas,Nuclear,Hydro,Wind and Solar,Coke and breeze,Others
67,1987,74.31,51.58,6.3,0.91,14.44,0.36,0.0,0.0,0.72
68,1988,75.57,49.83,7.01,0.97,16.57,0.42,0.0,0.0,0.77
69,1989,75.27,48.59,7.11,0.54,17.74,0.41,0.0,0.0,0.88
70,1990,76.34,49.84,8.4,0.56,16.26,0.44,0.0,0.0,0.84
71,1991,76.87,49.98,7.56,0.57,17.43,0.39,0.0,0.0,0.94
72,1992,76.57,46.94,8.07,1.54,18.45,0.46,0.0,0.0,1.09
73,1993,75.4,39.61,5.78,7.04,21.58,0.37,0.0,0.0,1.02
74,1994,74.01,37.1,4.11,10.1,21.2,0.44,0.0,0.0,1.06
75,1995,77.15,36.29,4.15,13.27,21.25,0.4,0.0,0.0,1.79
76,1996,79.55,33.67,3.87,17.36,22.18,0.29,0.04,0.0,2.14
77,1997,76.43,28.3,1.85,21.57,21.98,0.38,0.06,0.0,2.29
78,1998,81.14,29.94,1.7,23.02,23.44,0.44,0.08,0.0,2.52
79,1999,79.72,25.51,1.54,27.13,22.22,0.46,0.07,0.0,2.79
80,2000,81.21,28.67,1.55,27.91,19.64,0.44,0.08,0.0,2.93
81,2001,84.01,31.61,1.42,26.87,20.77,0.35,0.08,0.0,2.91
82,2002,83.0,29.63,1.29,28.33,20.1,0.41,0.11,0.0,3.13
83,2003,85.95,32.54,1.19,27.85,20.04,0.28,0.11,0.0,3.93
84,2004,84.57,31.31,1.1,29.25,18.16,0.42,0.17,0.0,4.15
85,2005,86.68,32.58,1.31,28.52,18.37,0.42,0.25,0.0,5.23
86,2006,87.06,35.94,1.43,26.78,17.13,0.4,0.36,0.0,5.02
87,2007,84.28,32.92,1.16,30.6,14.04,0.44,0.46,0.0,4.68
88,2008,81.58,29.96,1.58,32.4,11.91,0.44,0.61,0.0,4.67
89,2009,78.42,24.66,1.51,30.9,15.23,0.45,0.8,0.0,4.87
90,2010,79.41,25.56,1.18,32.43,13.93,0.31,0.89,0.0,5.11
91,2011,76.52,26.03,0.78,26.58,15.63,0.49,1.39,0.0,5.62
92,2012,77.24,34.33,0.73,18.62,15.21,0.46,1.82,0.0,6.07
93,2013,74.52,31.33,0.59,17.7,15.44,0.4,2.61,0.0,6.45
94,2014,68.48,24.01,0.55,18.73,13.85,0.51,3.1,0.0,7.73
95,2015,66.72,18.34,0.61,18.28,15.48,0.54,4.11,0.0,9.36
96,2016,63.67,7.53,0.58,25.63,15.41,0.46,4.09,0.0,9.96
97,2017,61.71,5.55,0.54,24.6,15.12,0.51,5.25,0.0,10.13
98,2018,59.88,4.24,0.49,23.51,14.06,0.47,5.98,0.0,11.13
99,2019,56.87,1.85,0.5,23.47,12.09,0.5,6.57,0.0,11.9
100,2020,54.1,1.47,0.35,20.29,10.72,0.58,7.61,0.0,13.07
